call	set	score	n	id_all	flank_bg	cliff	frac_sup	flags
SINE	NEGCHIM__saq__s3_43seqs	100.0	100	0.827	0.275	0.552	1.0	CONSENSUS_OVEREXTENDED
NOT_SINE	NEGRAND__saq__r00	0.0	100	0.154	0.263	-0.109	0.0	NO_ELEMENT
NOT_SINE	NEGLINEORF__teu__r00	0.2	100	0.894	0.483	0.411	1.0	FRAGMENT_OF_LONGER
SINE	NEGTRUNC5__saq__s3_43seqs	68.3	100	0.696	0.281	0.415	1.0	HETEROGENEOUS_SELECTION,TRUNCATED_COPIES
SINE_NEEDS_GENOME_CHECK	ERI__eri__e2-4	97.4	100	0.586	0.281	0.305	1.0	
SINE	NEGMOSAIC__saq__s1_30seqs_s8_225seqs	100.0	100	0.85	0.317	0.533	1.0	
MOSAIC	ERI__eri__e1-4	0.2	100	0.969	0.671	0.298	1.0	NOT_ISOLATED
GREY	NEGCHIM__dmo__d4_266seqs	100.0	100	0.893	0.3	0.593	1.0	CONSENSUS_OVEREXTENDED
GREY	NEGTRUNC5__ccr__g5_7seqs	79.0	100	0.784	0.327	0.457	1.0	SUBFAMILY_NOTE,FLANKS_UNMEASURED,HETEROGENEOUS_SELECTION,TRUNCATED_COPIES
NOT_SINE	ERI__eri__e2-2	0.1	100	0.964	0.714	0.25	1.0	NOT_ISOLATED
NOT_SINE	NEGLOWBIT__saq__r00	31.2	100	0.284	0.25	0.034	1.0	SUBFAMILY_NOTE,RECOVERABLE_CORE
NOT_SINE	NEGLOWBIT__teu__r00	56.6	100	0.412	0.257	0.155	1.0	SUBFAMILY_NOTE
GREY_OR_BADLY_PREPARED	NEGSEGDUP__eri__r00	47.0	26	0.806	0.326	0.48	1.0	FRAGMENT_OF_LONGER,INSUFFICIENT_COPIES
SINE	AMBIG__saq__r00	100.0	100	0.85	0.307	0.543	1.0	
SINE	AMBIG__teu__r00	100.0	100	0.695	0.279	0.416	1.0	SUBFAMILY_NOTE
SINE_WITH_CAUTION	ERI__eri__e2-3	92.6	100	0.858	0.371	0.487	1.0	
SINE	NEGLINE__teu__r00	100.0	100	0.792	0.329	0.463	1.0	FLANKS_UNMEASURED
SINE	POS__saq__s5_5seqs	100.0	100	0.933	0.286	0.647	1.0	
SINE	SIMCLEAN__age030	100.0	100	0.601	0.321	0.28	1.0	
SINE	POS__ccr__a_ccr	100.0	100	0.572	0.268	0.304	1.0	
SINE	MIXED30__saq__s3_43seqs	92.7	100	0.858	0.31	0.548	0.74	CONTAMINATED
SINE	HUM__hum__AluJr	100.0	100	0.638	0.28	0.358	1.0	
SINE	HUM__hum__AluSc	100.0	100	0.881	0.279	0.602	1.0	
SINE	HUM__hum__AluSc8	100.0	100	0.878	0.28	0.598	1.0	
SINE	HUM__hum__AluSg7	100.0	100	0.88	0.278	0.602	1.0	
SINE	HUM__hum__AluSq	100.0	100	0.851	0.278	0.573	1.0	
SINE	HUM__hum__AluSq2	100.0	100	0.866	0.276	0.59	1.0	
SINE	HUM__hum__AluSq4	100.0	100	0.875	0.278	0.597	1.0	
SINE	HUM__hum__AluSx4	100.0	100	0.871	0.283	0.588	1.0	
SINE	HUM__hum__FAM	100.0	100	0.751	0.281	0.47	1.0	
SINE	HUM__hum__FLAM_A	100.0	100	0.74	0.284	0.456	1.0	
SINE_MINOR_NOTE	HUM__hum__AluYa8	100.0	35	0.981	0.275	0.706	0.914	CONTAMINATED
SINE_MINOR_NOTE	HUM__hum__AluYh3	100.0	86	0.942	0.274	0.668	0.942	CONTAMINATED
SINE_MINOR_NOTE	HUM__hum__FLAM_C_short_	100.0	100	0.752	0.276	0.476	1.0	
ANCIENT_BADLY_PRESENTED	HUM__hum__LFSINE_Vert	100.0	23	0.566	0.264	0.302	1.0	INSUFFICIENT_COPIES
ANCIENT_BADLY_PRESENTED	HUM__hum__AmnSINE2	100.0	13	0.556	0.25	0.306	1.0	INSUFFICIENT_COPIES,NO_FLANKS_PRESENT
ANCIENT_BADLY_PRESENTED	HUM__hum__AmnSINE1	90.7	9	0.493	0.25	0.243	1.0	INSUFFICIENT_COPIES,NO_FLANKS_PRESENT
ANCIENT_BADLY_PRESENTED	HUM__hum__AluYh7	79.7	14	0.729	0.25	0.479	1.0	INSUFFICIENT_COPIES,NO_FLANKS_PRESENT
BADLY_PRESENTED	HUM__hum__AluYk3	92.9	9	0.686	0.25	0.436	1.0	INSUFFICIENT_COPIES,NO_FLANKS_PRESENT
MIXTURE_SPLIT_FIRST	HUM__hum__AluYk11	90.4	100	0.941	0.285	0.656	1.0	SUBFAMILY_NOTE,HETEROGENEOUS_SELECTION,TRUNCATED_COPIES
MIXTURE_SPLIT_FIRST	HUM__hum__CAS	82.4	87	0.661	0.261	0.4	1.0	SUBFAMILY_NOTE,HETEROGENEOUS_SELECTION
MIXTURE_SPLIT_FIRST	HUM__hum__AluYh9	66.0	39	0.835	0.268	0.567	0.846	CONTAMINATED,SUBFAMILY_NOTE,HETEROGENEOUS_SELECTION,TRUNCATED_COPIES
NOT_SINE	HUM__hum__LmeSINE1c	69.2	14	0.437	0.25	0.187	1.0	INSUFFICIENT_COPIES,NO_FLANKS_PRESENT
SINE_TOO_FEW	HUM__hum__AluSx_short_	0.1	6	0.594	0.25	0.344	1.0	INSUFFICIENT_COPIES,NO_FLANKS_PRESENT
UNUSABLE	HUM__hum__AluYe6	0.0	1	0.464	0.25	0.214	1.0	INSUFFICIENT_COPIES,NO_FLANKS_PRESENT
SINE_CONSENSUS_WRONG	HUM__hum__MIR1_Amn	100.0	100	0.676	0.25	0.426	1.0	CONSENSUS_OVEREXTENDED
SINE	MOSAICDUP__saq__s3	100.0	100	0.851	0.323	0.528	1.0	SUBFAMILY_NOTE
SINE_NEEDS_SUBGROUPING	MOSAICSWAP__saq__s3	100.0	100	0.876	0.329	0.547	1.0	SUBFAMILY_NOTE
SINE	MOSAICDEL__saq__s3	100.0	100	0.921	0.329	0.592	1.0	HETEROGENEOUS_SELECTION
SINE	MOSAICTANDEM__saq__s3	100.0	100	0.861	0.329	0.532	1.0	FLANKS_UNMEASURED,HETEROGENEOUS_SELECTION
SINE_MOST_PROBLEMATIC	MOSAICINS__saq__s3	100.0	100	0.883	0.329	0.554	1.0	FLANKS_UNMEASURED,HETEROGENEOUS_SELECTION
SINE_MINOR_NOTE	MOSAICKALEID__saq__s3	100.0	100	0.804	0.329	0.475	1.0	FLANKS_UNMEASURED
SINE	NEGSPLICE__ccr_g1_180seqs__ccr_g4_77seqs__17	100.0	50	0.821	0.319	0.502	1.0	FLANKS_UNMEASURED
SINE	NEGSPLICE__ccr_g2_103seqs__teu_t3_27seqs__03	100.0	50	0.687	0.292	0.395	1.0	
SINE	NEGSPLICE__ccr_g3_71seqs__teu_t4_92seqs__06	100.0	50	0.823	0.331	0.492	1.0	
SINE	NEGSPLICE__ccr_g5_7seqs__saq_s2_38seqs__14	100.0	50	0.677	0.29	0.387	1.0	
SINE	NEGSPLICE__ccr_g6_58seqs__ccr_g7_3seqs__04	100.0	50	0.757	0.298	0.459	1.0	
SINE	NEGSPLICE__ccr_g6_58seqs__dmo_d1_16seqs__15	100.0	50	0.689	0.282	0.407	1.0	
