set	n50	n400	score50	score400	delta	uniq50	uniq400	call400	flags50	flags400
HUM__hum__7SLRNA	100	97	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	none
HUM__hum__ASR	77	77	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	none
HUM__hum__AluJb	100	95	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	none
HUM__hum__AluJb_short_	100	95	94.1	93.5	-0.6	1.0	1.0	ISOLATED_INSERTION	none	none
HUM__hum__AluJo	100	98	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	none
HUM__hum__AluJr	100	100	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	NEEDS_REVIEW	none
HUM__hum__AluJr4	100	94	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	none
HUM__hum__AluSc	100	97	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	NEEDS_REVIEW	NEEDS_REVIEW
HUM__hum__AluSc5	100	95	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	none
HUM__hum__AluSc8	100	97	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	NEEDS_REVIEW	NEEDS_REVIEW
HUM__hum__AluSg	66	66	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	none
HUM__hum__AluSg4	100	99	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	none
HUM__hum__AluSg7	100	91	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	NEEDS_REVIEW	NEEDS_REVIEW
HUM__hum__AluSp	100	91	98.3	100.0	1.7	1.0	1.0	ISOLATED_INSERTION	none	NEEDS_REVIEW
HUM__hum__AluSq	100	96	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	NEEDS_REVIEW	none
HUM__hum__AluSq10	100	95	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	none
HUM__hum__AluSq2	100	92	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	NEEDS_REVIEW	NEEDS_REVIEW
HUM__hum__AluSq4	100	92	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	NEEDS_REVIEW	NEEDS_REVIEW
HUM__hum__AluSx	100	100	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	none
HUM__hum__AluSx1	100	78	95.8	97.7	1.9	1.0	1.0	ISOLATED_INSERTION	none	none
HUM__hum__AluSx3	100	94	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	NEEDS_REVIEW
HUM__hum__AluSx4	100	100	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	NEEDS_REVIEW	NEEDS_REVIEW
HUM__hum__AluSz	100	95	94.9	95.1	0.2	1.0	1.0	ISOLATED_INSERTION	none	NEEDS_REVIEW
HUM__hum__AluSz6	100	96	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	none
HUM__hum__AluY	60	60	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	none
