597 chunks, 26 runs

setting                groups  placed  purity   resid          t1-4          t6-1          t3-1          t3-2
-------------------------------------------------------------------------------------------------------------
current                    22     583   0.937      12        34@91%        16@69%       63@100%        53@94%
MIN_SET 3                  23     590   0.929       5        29@93%        16@69%       63@100%        53@94%
MIN_SET 4                  22     586   0.935       9        34@91%        16@69%       63@100%        53@94%
MIN_SET 5                  22     583   0.937      12        34@91%        16@69%       63@100%        53@94%
MIN_SET 8                  19     591   0.941       4        41@88%        16@69%       63@100%        53@94%
MIN_BLOCK 2                28     591   0.907       4        19@53%        8@100%       41@100%        53@94%
MIN_BLOCK 3                22     583   0.937      12        34@91%        16@69%       63@100%        53@94%
MIN_BLOCK 5                 9     454   0.897     141        98@78%        16@69%        67@98%        53@94%
MIN_BLOCK 8                 8     449   0.802     146        90@86%        16@69%       120@57%             -
FEAT_JACCARD 0.30          26     590   0.920       5        22@55%        16@69%       63@100%        53@94%
FEAT_JACCARD 0.45          22     583   0.937      12        34@91%        16@69%       63@100%        53@94%
FEAT_JACCARD 0.60          15     582   0.885      13        23@87%        9@100%        67@98%        53@94%
FEAT_JACCARD 0.75          10     306   0.977     289             -        9@100%        67@98%        53@94%
CARRY 0.40                 22     595   0.929       0        20@80%        16@69%       63@100%        53@94%
CARRY 0.50                 17     590   0.929       5        43@81%        16@69%       63@100%        53@94%
CARRY 0.60                 22     583   0.937      12        34@91%        16@69%       63@100%        53@94%
CARRY 0.75                 23     585   0.942      10        16@56%        8@100%       67@100%        51@98%
EXCL_MIN 0.15              22     583   0.937      12        34@91%        16@69%       63@100%        53@94%
EXCL_MIN 0.25              22     583   0.937      12        34@91%        16@69%       63@100%        53@94%
EXCL_MIN 0.35              22     583   0.937      12        34@91%        16@69%       63@100%        53@94%
EXCL_MIN 0.50              22     583   0.937      12        34@91%        16@69%       63@100%        53@94%
MAX_FRAC 0.50              22     583   0.937      12        34@91%        16@69%       63@100%        53@94%
MAX_FRAC 0.70              22     592   0.934       3        30@93%        16@69%       63@100%        53@94%
MAX_FRAC 0.90              22     589   0.932       6        24@79%        16@69%       63@100%        53@94%
no trim                    20     584   0.926      11        24@67%        16@69%       63@100%        53@94%
everything loosest         52     584   0.772      11         7@57%        7@100%        57@51%       18@100%
