set	corpus	call	verbatim
NEGCHIM__saq__s3_43seqs	aln_v2	SINE	many individual level long insertions in the tail region but if gaps are removed it becomes consolidated at right edge... its clearly SINE
NEGRAND__saq__r00	aln_v2	NOT_SINE	no questions negative, good work
NEGLINEORF__teu__r00	aln_v2	NOT_SINE	no questions negative, good work
NEGTRUNC5__saq__s3_43seqs	aln_v2	SINE	indeed grayish on the left edge but still more like a SINE; if its right edge is defined at gggagat... it becomes quite clear
ERI__eri__e2-4	aln_v2	SINE_NEEDS_GENOME_CHECK	nested copies, i agree, but there are enough uniq left flanks to lean towards SINE - requires post-processing with proving uniqness of at least some flanks on whole-genome level
NEGMOSAIC__saq__s1_30seqs_s8_225seqs	aln_v2	SINE	absolutely clear SINE
ERI__eri__e1-4	aln_v2	MOSAIC	after proper alignment looks like good example of mosaic (besides being too long for SINE)
NEGCHIM__dmo__d4_266seqs	aln_v2	GREY	after realignment looks like sine but grayinsh zone because right end is a bit wobbly unstable
NEGTRUNC5__ccr__g5_7seqs	aln_v2	GREY	right end is fine but left one is really bad, good example of grey zone which looks more like LINE
ERI__eri__e2-2	aln_v2	NOT_SINE	not a grey zone, mixture of LINEs or something other repeats dfinitely not SINE
NEGLOWBIT__saq__r00	aln_ext	NOT_SINE	no repeat element at all, not informative too obvious negative control
NEGLOWBIT__teu__r00	aln_ext	NOT_SINE	no repeat element at all, not informative too obvious negative control
NEGSEGDUP__eri__r00	aln_v2	GREY_OR_BADLY_PREPARED	unclear situation with left end, could be just not extended enough, more like grey zone or technically badly prepared
AMBIG__saq__r00	aln_ext	SINE	not grey zone at all, subfamily ambiguity doesnt matter, we answer sine/not-sine
AMBIG__teu__r00	aln_ext	SINE	not grey zone at all, subfamily ambiguity doesnt matter, we answer sine/not-sine
ERI__eri__e2-3	aln_v2	SINE_WITH_CAUTION	can be SINE, but very turbulent at manu places, should be regarded as SINe but with caution and need manual reinspection
NEGLINE__teu__r00	aln_v2	SINE	these are clear SINEs, what made you think that it is line?
POS__saq__s5_5seqs	aln_v2	SINE	these are clear SINEs
